Date;Name;Type;Open_price;Value;Close price;Reasons;Step;Step price;Delta;Total
17.02.2022;BRH2022;лонг;92,35;1;92,50;закрыл в руччную;0,01;7,61;114,14;201185,25
18.02.2022;BRH2022;лонг;90,85;1;91,10;stop;0,01;7,61;190,24;201375,49
18.02.2022;BRH2022;лонг;90,84;1;91,10;stop;0,01;7,61;197,85;201573,34
18.02.2022;BRH2022;лонг;91,20;2;91,10;stop;0,01;7,61;-152,19;201421,15
18.02.2022;BRH2022;лонг;91,38;1;91,10;stop;0,01;7,61;-213,07;201208,08
18.02.2022;BRH2022;лонг;91,17;1;91,10;stop;0,01;7,61;-53,27;201154,81
18.02.2022;RIH2022;лонг;144920,00;1;144600,00;stop;10;15,06;-481,9;200672,91
18.02.2022;SFH2022;шорт;438,78;1;438,50;закрыл в руччную;0,01;0,76;21,36;200694,27
18.02.2022;SFH2022;шорт;438,79;1;438,50;закрыл в руччную;0,01;0,76;22,12;200716,39
18.02.2022;SFH2022;шорт;438,55;1;438,50;закрыл в руччную;0,01;0,76;3,81;200720,2
18.02.2022;BRH2022;шорт;92,84;3;92,36;закрыл в руччную;0,01;7,61;1095,77;201815,97
21.02.2022;SIH2022;шорт;77885,00;3;77700,00;stop;1;1;555;202370,97
21.02.2022;SIH2022;шорт;77320,00;3;77600,00;stop;1;1;-840;201530,97
21.02.2022;SIH2022;лонг;80120,00;3;80206,00;stop;1;1;258;201788,97
21.02.2022;RIH2022;лонг;141070,00;1;139170,00;stop;10;15,06;-2861,31;198927,66
21.02.2022;BRH2022;шорт;93,90;3;94,20;stop;0,01;7,61;-684,86;198242,8
21.02.2022;BRH2022;шорт;93,87;3;94,20;stop;0,01;7,61;-753,34;197489,46
21.02.2022;BRH2022;шорт;93,88;3;94,20;stop;0,01;7,61;-730,51;196758,95
21.02.2022;BRH2022;шорт;94,00;6;99,60;stop;0,01;7,61;-25567,99;171190,96
21.02.2022;BRH2022;шорт;96,30;3;99,60;stop;0,01;7,61;-7533,42;163657,54
21.02.2022;BRH2022;шорт;96,20;3;99,60;stop;0,01;7,61;-7761,71;155895,83
21.02.2022;GDH2022;шорт;1894,20;1;1903,50;stop;0,1;7,91;-735,91;155159,92
21.02.2022;RIH2022;шорт;110000,00;1;109800,00;закрыл в руччную;10;15,06;301,19;155461,11
21.02.2022;RIH2022;шорт;111000,00;1;109800,00;закрыл в руччную;10;15,06;1807,14;157268,25
21.02.2022;SIH2022;лонг;80181,00;2;81160,00;take;1;1;1958;159226,25
21.02.2022;SIH2022;лонг;80181,00;3;83577,00;закрыл в руччную;1;1;10188;169414,25
22.02.2022;BRH2022;шорт;97,20;1;96,30;take;0,01;7,61;684,86;170099,11
